id,handle,title,productType,current_price,suggested_price,category_p99,category_median,overshoot_pct,tags,rule
9269971648762,dyson-purifier-humidifycool-pc2-de-nox-tower-in-whitegold,Dyson Purifier Humidify+Cool PC2 De-NOx Tower in White/Gold,Electronics & Accessories,1198.68,987.53,987.5328000000113,74.95,21.4,Convictional;Dyson;health_and_wellness;Home & Electronics;Home_bathroom,cap@p99
9269971878138,dyson-purifier-humidifycool-ph2-de-nox-tower-in-whitegold,Dyson Purifier Humidify+Cool PH2 De-NOx Tower in White/Gold,Electronics & Accessories,1551.23,987.53,987.5328000000113,74.95,57.1,Convictional;Dyson;health_and_wellness;Home & Electronics;Home_bathroom,cap@p99
9269999927546,prodigy-advanced-smart-toilet-prodigy-p-770,Prodigy Advanced Smart Toilet,Electronics & Accessories,3383.13,987.53,987.5328000000113,74.95,242.6,Back to School;bathroom;Bidet;bidet attachment;bidet seat,cap@p99
9270025519354,axiom-le,Titan Axiom LE (S50),Electronics & Accessories,2819.04,987.53,987.5328000000113,74.95,185.5,4D massage chair;audience_men;colleciton_gifts_for_him;gifts;gifts for him,cap@p99
9270026436858,endor-4d,Titan Pro 4D Endor,Electronics & Accessories,4934.38,987.53,987.5328000000113,74.95,399.7,4D massage chair;audience_men;health & wellness;Massage Chair;Massage recliner,cap@p99
9269997666554,phantom-vase-creative-modern-decorative-vase-by-inspecial-home,Phantom Vase - Creative Modern Decorative Vase by Inspecial Home,Home Decor,197.29,148.13,148.13450000000034,74.95,33.2,home;home decor;Home_Accent/Décor;Home_lamps;home_lighting,cap@p99
9270016016634,sony-playstation-5-slim-console-digital-edition-in-white,Sony PlayStation 5 Slim Console Digital Edition in White,Toys & Games,985.75,633.56,633.564399999997,41.8,55.6,Convictional;Electronics;gaming_accessories;gift_collection:Gifts for Him;gifts for him,cap@p99
9269967847674,cyber-relax-ai-executive-edition-made-in-japan-5d-ai-ultra-premium-massage-chair-by-synca-massage-chair,Cyber Relax Ai - Executive Edition,Health & Wellness,18332.92,14101.2,14101.1966,78.06,30.0,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269968404730,d-core-cirrus-jp-ultra-premium-massage-chair-by-synca-massage-chair,D.Core Cirrus-Jp Ultra Premium Massage Chair by Synca Massage Chair,Health & Wellness,18332.92,14101.2,14101.1966,78.06,30.0,all;best_sellers;black_friday;collection:Full_Body_Massage_Chairs;collection:Zero_Gravity_Massage_Chairs,cap@p99
9269978693882,jp-3000-5d-ai-deluxe-zero-gravity-massage-chair-by-synca-massage-chair,JP-3000 - 5D Ai Deluxe Zero Gravity Massage Chair by Synca Massage Chair,Health & Wellness,15512.47,14101.2,14101.1966,78.06,10.0,3D massage chair;4D;4D Massage chair;all;chair,cap@p99
9269987606778,liberator-fascinator-throw-moisture-proof-sensual-blanket-king-size-1,Liberator Fascinator Throw - Moisture-Proof Sensual Blanket - King Size,Baby & Nursery,324.35,267.04,267.0386000000002,31.36,21.5,adult;adult_blanket;all;bedding;black_friday,cap@p99
9269959983354,black-edition-military-humidor-by-case-elegance,Black Edition Military Humidor by Case Elegance,Phone Case,423.05,129.0,129.0,74.95,227.9,Ashtray;Carro Brands Product;Ceramic Ashtray;Christmas_Gifts;Chrome Cigar Cutter,cap@p99
9269975646458,high-efficiency-90w-tri-fold-3-x-30w-foldable-solar-panel-kit-suitcase,High Efficiency 90W Tri-Fold (3 x 30w) Foldable Solar Panel Kit Suitcase,Phone Case,393.45,129.0,129.0,74.95,205.0,aco_sale;all;camping_adventure;charging_and_batteries;free_ground_promo,cap@p99
9269979807994,kobi-glass-top-humidor-by-case-elegance,Kobi Glass Top Humidor by Case Elegance,Phone Case,183.32,129.0,129.0,74.95,42.1,Ashtray;Carro Brands Product;Ceramic Ashtray;Christmas_Gifts;Chrome Cigar Cutter,cap@p99
9269989048570,luca-humidor-cabinet-by-case-elegance,Luca Humidor Cabinet by Case Elegance,Phone Case,282.03,129.0,129.0,74.95,118.6,Ashtray;Carro Brands Product;Ceramic Ashtray;Christmas_Gifts;Chrome Cigar Cutter,cap@p99
9269990949114,mill-glass-top-humidor-by-case-elegance,Mill Glass Top Humidor by Case Elegance,Phone Case,169.21,129.0,129.0,74.95,31.2,Ashtray;Carro Brands Product;Ceramic Ashtray;Christmas_Gifts;Chrome Cigar Cutter,cap@p99
9269994258682,octodor-glass-top-humidor-by-case-elegance,Octodor Glass Top Humidor by Case Elegance,Phone Case,281.72,129.0,129.0,74.95,118.4,Ashtray;Carro Brands Product;Ceramic Ashtray;Christmas_Gifts;Chrome Cigar Cutter,cap@p99
9270000648442,ptk100w-portable-solar-panel-kit-foldable-2x-50w-mono-suitcase-proteusx-20a-charge-controller,"PTK100W Portable Solar Panel kit, Foldable 2X 50w Mono Suitcase,",Phone Case,407.84,129.0,129.0,74.95,216.2,aco_sale;all;camping_adventure;charging_and_batteries;free_ground_promo,cap@p99
9270044098810,woolnut-leather-case-for-airpods-max,Woolnut Leather Case For Airpods Max,Phone Case,196.02,129.0,129.0,74.95,52.0,acc_collection:Everyday Carry;accessories;all;Audio_Headphones/Earphones;back_to_school,cap@p99
